TNK,B,MonoMacro,DC,Mast
-0.392541,0.19106196,0.5140346,2.0325122,-2.5418112
-0.7521578,1.3791312,-1.0587035,0.2680721,-1.4312184
-0.6088138,1.4812857,1.5010371,1.3397226,0.9807553
0.61143273,0.6083567,-2.4146187,0.6346006,1.2820655
0.49353865,-0.13922943,-0.088508666,-2.6117854,0.63099563
-0.5941314,-0.97984695,0.1434262,1.3995589,0.864855
-0.17068605,-1.2077854,1.1015538,1.4768157,1.4551115
-0.13911465,1.5939727,-0.6501879,1.1780137,-0.43226478
-2.2153199,-1.0188483,-0.4641628,-0.86686146,-0.14997426
0.5644914,-0.13486353,-0.4719737,0.16944543,-1.0723444
